location,price,description,link
" 2 Bed Flat, Old Snow Hill, B4","                                £1,250 per month","A stunning, two bedrooms two bathrooms duplex apartment located on the edge of the Jewellery Quarter   Near Snow Hill stati                            ...",https://www.openrent.co.uk/property-to-rent/birmingham/2-bed-flat-old-snow-hill-b4/1601678
" 3 Bed Semi-Detached House, Par Street, B31","                                £1,500 per month","3 Bedroom semi detached new house available to rent now. located in Frankley Green, please let us know if you are intereste                            ...",https://www.openrent.co.uk/property-to-rent/birmingham/3-bed-semi-detached-house-par-street-b31/1579731
" 1 Bed Flat, Rifle Maker Building, B3","                                £2,000 per month",Looking for weekly or nightly accomodation AVAILABLE NOWLooking for long term accomodation available from July. 2023This la                            ...,https://www.openrent.co.uk/property-to-rent/birmingham/1-bed-flat-rifle-maker-building-b3/1574094
" 1 Bed Flat, The Rotunda, B2","                                £3,597 per month",★STAY IN THE HEART OF BIRMINGHAM CITY CENTRE★  ★毗鄰購物中心和唐人街★離路易威登近★  ⦿1 MINUTE WALK to New Street Station⦿  ❈Stay as close                              ...,https://www.openrent.co.uk/property-to-rent/birmingham/1-bed-flat-the-rotunda-b2/1593196
" 1 Bed Flat, New Street, B2","                                £1,995 per month",** LUXURY SHORT TERM ACCOMMODATION IN THE MOST IDEAL LOCATION BIRMINGHAM HAS TO OFFER. FULLY FURNISHED 1 BED APARTMENT (ALL                            ...,https://www.openrent.co.uk/property-to-rent/birmingham/1-bed-flat-new-street-b2/1578413
" 1 Bed Flat, Devonshire House, B3","                                £1,000 per month","!!!!!WITH ELECTRICITY AND WATER INCLUDED!!!!!  Available for rent is a 1 bedroom, 1 bathroom modern apartment in the centre                            ...",https://www.openrent.co.uk/property-to-rent/birmingham/1-bed-flat-devonshire-house-b3/1589405
" Room in a Shared House, St. Martins Gate, B2","                                £750 per month","We are proud to offer this delightful room in a 2 bedroom, 1 bathroom shared house in a great location.  Available to move                             ...",https://www.openrent.co.uk/property-to-rent/birmingham/room-in-a-shared-house-st-martins-gate-b2/1606139
" 1 Bed Flat, Water Street Court, B3","                                £875 per month",One bedroom apartment for rent situated off of St Paul's Square benefiting from open plan lounge/dining room/kitchen and in                            ...,https://www.openrent.co.uk/property-to-rent/birmingham/1-bed-flat-water-street-court-b3/1594817
" 1 Bed Flat, Newhall Street, B3","                                £1,595 per month","*ALL BILLS INCLUDED INCLUDING FREE NETFLIX, FULLY FURNISHED, SHORT TERM LET AVALIABLE*  1 bedroom apartment located in the                             ...",https://www.openrent.co.uk/property-to-rent/birmingham/1-bed-flat-newhall-street-b3/1527957
" 1 Bed Flat, Newhall Street, B3","                                £1,649 per month","*ALL BILLS INCLUDED INCLUDING FREE NETFLIX, FULLY FURNISHED, SHORT TERM LET AVALIABLE*  1 bedroom apartment located in the                             ...",https://www.openrent.co.uk/property-to-rent/birmingham/1-bed-flat-newhall-street-b3/1557289
" 1 Bed Flat, Newhall Street, B3","                                £1,649 per month","*ALL BILLS INCLUDED INCLUDING FREE NETFLIX, FULLY FURNISHED, SHORT TERM LET AVALIABLE*  1 bedroom apartment located in the                             ...",https://www.openrent.co.uk/property-to-rent/birmingham/1-bed-flat-newhall-street-b3/1557290
" 2 Bed Flat, Miller, B3","                                £1,750 per month","We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location which overlooks St. Pauls Square!  Ava                            ...",https://www.openrent.co.uk/property-to-rent/birmingham/2-bed-flat-miller-b3/1578985
" 2 Bed Flat, City Centre, B3","                                £1,217 per month","Fantastic 2 bedroom apartment in the centre of Birmingham, A stones throw from St Pauls Square. Comes fully furnished and f                            ...",https://www.openrent.co.uk/property-to-rent/birmingham/2-bed-flat-city-centre-b3/1597945
" 3 Bed Terraced House, Great Francis Street, B7","                                £2,900 per month","We are proud to offer this delightful 3 bedroom, 2 bathroom terraced house in a great location.  Available to move in from                             ...",https://www.openrent.co.uk/property-to-rent/birmingham/3-bed-terraced-house-great-francis-street-b7/1581819
" Bedsit, Digbeth High Street, B5","                                £1,517 per month",We have two large double studios available at our apartment on Digbeth High Street. Each studio is £350 inclusive of all bi                            ...,https://www.openrent.co.uk/property-to-rent/birmingham/bedsit-digbeth-high-street-b5/1595745
" 1 Bed Flat, Ansty Court, B3","                                £900 per month","We are proud to offer this delightful 1 bedroom, 1 bathroom flat in a great location.  Available to move in from 25 January                            ...",https://www.openrent.co.uk/property-to-rent/birmingham/1-bed-flat-ansty-court-b3/1591115
" 4 Bed Semi-Detached House, Regent Place, B1","                                £1,995 per month",**** STUNNING TOWNHOUSE ****  A wonderful opportunity to rent a truly stunning house in Birmingham's Jewellery Quarter arra                            ...,https://www.openrent.co.uk/property-to-rent/birmingham/4-bed-semi-detached-house-regent-place-b1/1601155
" Studio Flat, Orion Building, B5","                                £1,250 per month","Newly refurbished 1 Bed Flat available in Birmingham City Centre outside New St. Station.  £1,250.00 PCM excluding bills -                             ...",https://www.openrent.co.uk/property-to-rent/birmingham/studio-flat-orion-building-b5/1585185
" 2 Bed Flat, Carpathian Court, B18","                                £1,150 per month","Available immediately. Fully furnished 2 bedroom apartment with a spacious living room, a patio, and a bathroom with modern                            ...",https://www.openrent.co.uk/property-to-rent/birmingham/2-bed-flat-carpathian-court-b18/1600710
" 2 Bed Flat, The Axium, B12","                                £1,250 per month","WOW !!! HIGH END  DONT MISS THESE NEW BUILD LUXURY APARTMENTS !!!!!  The Axium apartments are a brand new, stylish set of a                            ...",https://www.openrent.co.uk/property-to-rent/birmingham/2-bed-flat-the-axium-b12/1528810
